Label,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,GEORGIA,CONNECTICUT,DELAWARE,FLORIDA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
            White,3 281 881,435 004,4 241 669,2 115 847,15 443 776,5 602 328,2 354 580,609 759,12 210 739,319 677,1 548 085,7 770 962,5 308 520,2 696 700,2 230 826,3 756 439,2 675 200,1 241 485,3 018 844,4 832 195,7 438 013,4 436 857,1 654 011,4 775 960,939 189,1 540 520,1 560 010,1 221 431,5 062 888,955 024,11 022 836,6 587 453,644 265,9 110 505,2 617 058,3 169 447,9 704 692,775 695,3 301 055,722 723,5 097 360,14 129 750,2 647 741,588 142,5 251 112,5 139 448,1 617 386,4 732 002,489 477
            Black or African American,1 305 106,22 003,326 638,447 402,2 161 485,3 323 900,380 846,208 369,3 285 618,28 484,14 235,1 722 604,601 428,115 173,154 732,324 634,1 441 645,21 069,1 810 345,466 735,1 345 050,388 575,1 064 950,666 815,5703,91 635,288 117,20 291,1 194 085,42 824,2 812 364,2 118 333,22 561,1 406 378,274 632,80 735,1 351 852,54 408,1 299 709,17 810,1 079 627,3 525 415,35 982,7120,1 587 833,308 785,50 770,364 138,6687
            American Indian and Alaska Native,24 830,100 397,294 658,17 058,535 468,53 642,12 238,3385,63 540,4837,23 990,84 713,19 174,15 288,21 670,10 357,23 926,4770,25 208,15 835,51 188,48 309,15 648,22 046,63 896,23 547,44 661,1550,35 727,197 031,119 692,116 742,35 955,20 594,297 937,56 281,22 765,3297,19 948,73 115,18 070,227 815,32 622,1234,37 018,100 624,2277,42 107,10 356
            Asian,68 813,47 347,245 285,43 928,5 967 495,465 880,172 878,41 066,620 260,536 161,26 001,728 531,162 321,75 373,85 422,64 314,80 506,16 827,407 982,493 647,322 255,289 783,24 909,124 164,10 309,45 285,269 851,36 422,925 055,34 739,1 727 826,325 011,11 255,283 555,90 192,190 234,470 184,34 144,85 953,14 350,118 920,1 550 868,84 056,11 345,586 231,732 701,14 106,175 743,5020
        Hispanic or Latino (of any race),237 434,52 291,2 351 124,247 641,15 754 608,1 083 524,637 113,101 213,5 830 915,160 134,251 916,2 277 330,518 001,212 306,373 723,176 747,256 086,26 227,684 323,897 350,559 716,332 039,93 868,281 445,47 420,233 800,940 759,60 323,1 991 635,1 059 236,3 864 337,1 070 001,32 043,505 113,467 246,596 516,1 082 550,187 777,329 424,37 785,420 391,11 857 387,493 639,13 206,879 350,1 059 156,30 350,441 323,61 090
