,Label,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,GEORGIA,CONNECTICUT,DELAWARE,FLORIDA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
0,        Less than high school graduate,25 395,31 565,30 289,28 714,28 501,27 341,30 190,30 387,25 755,28 885,30 768,29 695,30 634,32 775,30 885,25 571,26 784,34 255,29 480,30 956,26 888,30 394,26 126,26 315,22 977,31 507,30 979,35 895,28 336,22 117,27 130,26 097,30 064,28 017,27 597,31 335,28 562,31 280,27 014,28 754,27 481,26 881,34 424,29 953,28 780,32 285,22 882,30 530,31 988
1,        High school graduate (includes equivalency),31 997,39 150,35 309,31 600,36 311,32 398,39 819,34 262,31 711,35 586,32 925,35 334,36 144,36 727,34 137,32 207,31 701,36 407,40 160,40 724,32 639,37 474,31 810,33 899,33 327,35 527,35 697,41 699,37 180,32 058,35 242,32 075,39 631,35 087,31 976,36 031,35 528,40 297,32 587,35 069,32 457,32 742,36 870,38 339,35 070,40 493,31 479,36 939,36 645
2,        Some college or associate's degree,36 662,44 785,41 543,35 644,43 044,38 476,45 344,43 479,37 236,41 095,37 877,41 652,40 528,41 100,40 240,37 420,36 877,40 542,48 351,47 201,39 894,45 192,33 729,39 481,36 712,40 907,40 173,45 391,46 071,36 168,42 154,37 845,42 412,40 348,37 329,40 827,41 521,44 680,38 235,40 249,39 041,40 333,41 461,41 332,42 361,46 249,36 032,42 701,37 208
3,        Bachelor's degree,52 385,60 141,57 474,51 046,71 142,60 454,69 915,61 378,51 381,55 171,50 581,63 725,54 525,55 434,55 916,51 906,52 491,51 486,71 896,71 344,59 740,63 482,45 353,53 855,50 126,53 663,52 227,64 230,71 258,49 976,64 928,55 494,54 510,58 453,50 771,57 419,61 170,62 069,51 257,51 375,53 286,61 341,56 175,49 075,65 495,72 286,50 534,58 745,50 596
4,        Graduate or professional degree,65 470,80 892,74 205,63 107,99 341,72 973,88 250,73 888,67 954,73 122,68 649,81 737,70 183,70 977,67 095,62 124,63 934,68 177,93 565,90 944,75 841,80 120,59 223,65 480,65 176,69 714,71 112,78 476,94 788,69 168,82 907,70 335,67 774,74 866,65 294,78 702,78 261,81 413,63 545,61 699,67 850,77 567,81 947,67 439,92 057,96 132,64 636,70 880,70 910
